Graph,Random Critical Fraction,Targeted Critical Fraction,Average Shortest Path Length,Average Clustering Coefficient,No. Connected Components
Sinet,0.3108108108108108,0.05405405405405406,3.930766382821177,0.0,1
Darkstrand,0.17857142857142858,0.07142857142857142,4.862433862433862,0.0,1
Istar,0.2608695652173913,0.08695652173913043,3.3517786561264824,0.013664596273291925,1
Rhnet,0.3125,0.25,3.441666666666667,0.23541666666666666,1
Ntelos,0.16666666666666666,0.125,6.13413506012951,0.048611111111111105,2
Tw,0.25,0.09210526315789473,3.7830985915492956,0.17296555783397888,6
RoedunetFibre,0.125,0.125,5.206560283687943,0.0,1
Janetbackbone,0.1724137931034483,0.13793103448275862,2.684729064039409,0.20303776683087027,1
Grnet,0.2702702702702703,0.10810810810810811,3.4324324324324325,0.041113841113841115,1
Garr201111,0.26666666666666666,0.05,3.6096045197740114,0.05519369519369519,1
Padi,0.06666666666666667,0.06666666666666667,1.7142857142857142,0.0,9
Aarnet,0.2631578947368421,0.21052631578947367,3.497076023391813,0.07017543859649122,1
Cesnet201006,0.3076923076923077,0.057692307692307696,3.0520361990950224,0.07926052804595314,1
Garr201101,0.2857142857142857,0.05357142857142857,3.551948051948052,0.0538510101010101,1
Garr201003,0.3333333333333333,0.09259259259259259,3.5506638714185885,0.056668537224092784,1
Getnet,0.5714285714285714,0.2857142857142857,1.8095238095238095,0.11904761904761904,1
Itnet,0.5454545454545454,0.09090909090909091,1.8181818181818181,0.0,1
Eenet,0.23076923076923078,0.07692307692307693,2.5,0.09249084249084248,1
Cesnet1997,0.15384615384615385,0.07692307692307693,2.8974358974358974,0.0,1
Arpanet19706,0.2222222222222222,0.3333333333333333,2.3055555555555554,0.2592592592592593,1
BtEurope,0.5416666666666666,0.125,2.3152173913043477,0.3970263532763533,1
Garr200404,0.36363636363636365,0.09090909090909091,2.4155844155844157,0.023268398268398268,1
Ilan,0.21428571428571427,0.14285714285714285,2.3736263736263736,0.0,1
Garr201012,0.2857142857142857,0.05357142857142857,3.551948051948052,0.0538510101010101,1
HiberniaUs,0.3181818181818182,0.22727272727272727,3.9523809523809526,0.13636363636363635,1
Globenet,0.3880597014925373,0.029850746268656716,5.231569425599276,0.0814498933901919,1
Palmetto,0.37777777777777777,0.15555555555555556,4.767676767676767,0.20518518518518516,1
